product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,inserted_at
06c42344256e5a78e6bf38e92b1f1563,eletrodomesticos,53.0,209.0,1.0,200.0,18.0,8.0,13.0,2024-01-23 12:52:53.013785
ba141ee1157c8499edebf350c898084b,cama_mesa_banho,54.0,634.0,2.0,3150.0,56.0,12.0,38.0,2024-01-23 12:52:53.013785
6309ecb18b264afd138380fe238589f7,moveis_escritorio,39.0,1191.0,1.0,12475.0,53.0,54.0,18.0,2024-01-23 12:52:53.013785
94c6a83ab9e528e35fbe815ad5a05905,informatica_acessorios,57.0,738.0,1.0,100.0,22.0,5.0,15.0,2024-01-23 12:52:53.013785
b05eda1aa0322626a26b40fe913ebfc5,telefonia,51.0,1257.0,1.0,75.0,19.0,5.0,11.0,2024-01-23 12:52:53.013785
50497261c5976a5ca9c115935de42450,eletronicos,53.0,1507.0,2.0,547.0,19.0,12.0,17.0,2024-01-23 12:52:53.013785
ffd9ac56db9194a413298faaa03cd176,pet_shop,41.0,341.0,1.0,600.0,17.0,16.0,17.0,2024-01-23 12:52:53.013785
1dc7685f4fdb9622d84ae2ec658d5bbf,informatica_acessorios,54.0,292.0,1.0,1025.0,27.0,13.0,19.0,2024-01-23 12:52:53.013785
4c6cbc8f097c261f62ae0a8a2660db03,beleza_saude,43.0,1719.0,1.0,217.0,17.0,10.0,11.0,2024-01-23 12:52:53.013785
44efeca9e2a12a4e5af1940d1d5d7c18,pet_shop,59.0,590.0,5.0,500.0,47.0,6.0,36.0,2024-01-23 12:52:53.013785
3f84f961fb9323a568f07488788a4e6e,beleza_saude,50.0,993.0,2.0,200.0,20.0,10.0,20.0,2024-01-23 12:52:53.013785
26e1c314c9e92fb104346d515517d99f,artigos_de_natal,55.0,686.0,2.0,350.0,30.0,10.0,20.0,2024-01-23 12:52:53.013785
ef7902ad08e80e1e6d5b418cedaedaf7,moveis_decoracao,47.0,487.0,4.0,50.0,16.0,2.0,16.0,2024-01-23 12:52:53.013785
63cbf4066cf395d6634831160ddacbbd,moveis_decoracao,53.0,356.0,1.0,1200.0,20.0,16.0,20.0,2024-01-23 12:52:53.013785
95df8ca600dda9824d93795c9066eb6c,cama_mesa_banho,50.0,216.0,1.0,2300.0,40.0,6.0,29.0,2024-01-23 12:52:53.013785
f52a0f70e54976873a4a7402349c6105,,,,,1500.0,70.0,4.0,18.0,2024-01-23 12:52:53.013785
163365b4428bf91ee261186233e5f796,cool_stuff,46.0,455.0,3.0,3350.0,24.0,30.0,21.0,2024-01-23 12:52:53.013785
153ad88dad29825663dfb8588c45a1a2,bebes,30.0,362.0,3.0,200.0,16.0,11.0,11.0,2024-01-23 12:52:53.013785
52817a1b17d101c0656923254b92aed8,cama_mesa_banho,53.0,165.0,1.0,150.0,16.0,10.0,15.0,2024-01-23 12:52:53.013785
835e3f51a6ef088097cc8cf42f08fd17,moveis_escritorio,44.0,900.0,2.0,24700.0,62.0,16.0,49.0,2024-01-23 12:52:53.013785
29d5c2519a3dc99ad17aa6217b812335,construcao_ferramentas_construcao,43.0,469.0,2.0,2033.0,27.0,24.0,26.0,2024-01-23 12:52:53.013785
b9db2807a5ed576de4411c679bc8ec71,fashion_bolsas_e_acessorios,58.0,668.0,3.0,650.0,43.0,16.0,27.0,2024-01-23 12:52:53.013785
5688e01178de72fdee95d7d456d387fd,informatica_acessorios,59.0,215.0,2.0,150.0,16.0,8.0,11.0,2024-01-23 12:52:53.013785
57b5726e43d656e99611c432b3a7b1ea,pet_shop,45.0,866.0,3.0,19100.0,27.0,65.0,50.0,2024-01-23 12:52:53.013785
a5502e9954017124d95f7bce4c89d339,cama_mesa_banho,46.0,701.0,1.0,1300.0,50.0,12.0,12.0,2024-01-23 12:52:53.013785
b7e9c96d27b4890f109a6a1d92b64ea3,beleza_saude,54.0,1228.0,2.0,1017.0,17.0,15.0,16.0,2024-01-23 12:52:53.013785
86b22a03cb72239dd53996a67df35c63,construcao_ferramentas_construcao,47.0,380.0,2.0,7650.0,44.0,15.0,34.0,2024-01-23 12:52:53.013785
ae52b85c8712696950e9287398316251,construcao_ferramentas_construcao,55.0,414.0,2.0,1175.0,28.0,28.0,28.0,2024-01-23 12:52:53.013785
ce4d0d86fef2b1760405c82feea6bb7f,automotivo,48.0,242.0,1.0,7350.0,104.0,35.0,30.0,2024-01-23 12:52:53.013785
e3374a33d19814ea4cbd0ac5da8e3978,brinquedos,57.0,761.0,4.0,715.0,21.0,12.0,17.0,2024-01-23 12:52:53.013785
1be9435dc0c47cf6b58c34d3bb7d6f54,cama_mesa_banho,49.0,293.0,1.0,1225.0,38.0,15.0,31.0,2024-01-23 12:52:53.013785
7bbc646134de228a74392d8407d16df8,utilidades_domesticas,60.0,959.0,4.0,800.0,29.0,19.0,21.0,2024-01-23 12:52:53.013785
6ed6fb2418af24e9d020b1c4fd7028fd,utilidades_domesticas,56.0,829.0,7.0,217.0,17.0,12.0,13.0,2024-01-23 12:52:53.013785
00917855135d67fb060dcd81863166a4,informatica_acessorios,55.0,197.0,1.0,1133.0,16.0,16.0,11.0,2024-01-23 12:52:53.013785
